loop filter p, loop filter i, decoded packets
0.23000000000000004, 0.0002900000000000001, 5.0
0.24000000000000005, 0.0002900000000000001, 5.0
0.25000000000000006, 0.0002900000000000001, 4.0
0.26000000000000006, 0.0002900000000000001, 5.0
0.2700000000000001, 0.0002900000000000001, 5.0
0.2800000000000001, 0.0002900000000000001, 3.0
0.2900000000000001, 0.0002900000000000001, 3.0
0.2, 0.00030000000000000014, 4.0
0.21000000000000002, 0.00030000000000000014, 4.0
0.22000000000000003, 0.00030000000000000014, 4.0
0.23000000000000004, 0.00030000000000000014, 5.0
0.24000000000000005, 0.00030000000000000014, 5.0
0.25000000000000006, 0.00030000000000000014, 4.0
0.26000000000000006, 0.00030000000000000014, 5.0
0.2700000000000001, 0.00030000000000000014, 5.0
0.2800000000000001, 0.00030000000000000014, 4.0
0.2900000000000001, 0.00030000000000000014, 3.0
0.2, 0.00031000000000000016, 4.0
0.21000000000000002, 0.00031000000000000016, 4.0
0.22000000000000003, 0.00031000000000000016, 4.0
0.23000000000000004, 0.00031000000000000016, 5.0
0.24000000000000005, 0.00031000000000000016, 5.0
0.25000000000000006, 0.00031000000000000016, 4.0
0.26000000000000006, 0.00031000000000000016, 5.0
0.2700000000000001, 0.00031000000000000016, 5.0
0.2800000000000001, 0.00031000000000000016, 4.0
0.2900000000000001, 0.00031000000000000016, 4.0
0.2, 0.0003200000000000002, 4.0
0.21000000000000002, 0.0003200000000000002, 4.0
0.22000000000000003, 0.0003200000000000002, 4.0
0.23000000000000004, 0.0003200000000000002, 4.0
0.24000000000000005, 0.0003200000000000002, 5.0
0.25000000000000006, 0.0003200000000000002, 5.0
0.26000000000000006, 0.0003200000000000002, 5.0
0.2700000000000001, 0.0003200000000000002, 4.0
0.2800000000000001, 0.0003200000000000002, 4.0
0.2900000000000001, 0.0003200000000000002, 4.0
0.2, 0.0003300000000000002, 4.0
0.21000000000000002, 0.0003300000000000002, 4.0
0.22000000000000003, 0.0003300000000000002, 4.0
0.23000000000000004, 0.0003300000000000002, 4.0
0.24000000000000005, 0.0003300000000000002, 5.0
0.25000000000000006, 0.0003300000000000002, 5.0
0.26000000000000006, 0.0003300000000000002, 5.0
0.2700000000000001, 0.0003300000000000002, 4.0
0.2800000000000001, 0.0003300000000000002, 3.0
0.2900000000000001, 0.0003300000000000002, 4.0
0.2, 0.00034000000000000024, 4.0
0.21000000000000002, 0.00034000000000000024, 4.0
0.22000000000000003, 0.00034000000000000024, 4.0
0.23000000000000004, 0.00034000000000000024, 5.0
0.24000000000000005, 0.00034000000000000024, 5.0
0.25000000000000006, 0.00034000000000000024, 4.0
0.26000000000000006, 0.00034000000000000024, 5.0
0.2700000000000001, 0.00034000000000000024, 4.0
0.2800000000000001, 0.00034000000000000024, 3.0
0.2900000000000001, 0.00034000000000000024, 4.0
0.2, 0.00035000000000000027, 4.0
0.21000000000000002, 0.00035000000000000027, 4.0
0.22000000000000003, 0.00035000000000000027, 4.0
0.23000000000000004, 0.00035000000000000027, 4.0
0.24000000000000005, 0.00035000000000000027, 5.0
0.25000000000000006, 0.00035000000000000027, 5.0
0.26000000000000006, 0.00035000000000000027, 5.0
0.2700000000000001, 0.00035000000000000027, 5.0
0.2800000000000001, 0.00035000000000000027, 4.0
0.2900000000000001, 0.00035000000000000027, 4.0
0.2, 0.0003600000000000003, 4.0
0.21000000000000002, 0.0003600000000000003, 4.0
0.22000000000000003, 0.0003600000000000003, 4.0
0.23000000000000004, 0.0003600000000000003, 5.0
0.24000000000000005, 0.0003600000000000003, 5.0
0.25000000000000006, 0.0003600000000000003, 5.0
0.26000000000000006, 0.0003600000000000003, 5.0
0.2700000000000001, 0.0003600000000000003, 5.0
0.2800000000000001, 0.0003600000000000003, 3.0
0.2900000000000001, 0.0003600000000000003, 4.0
0.2, 0.0003700000000000003, 4.0
0.21000000000000002, 0.0003700000000000003, 4.0
0.22000000000000003, 0.0003700000000000003, 4.0
0.23000000000000004, 0.0003700000000000003, 5.0
0.24000000000000005, 0.0003700000000000003, 5.0
0.25000000000000006, 0.0003700000000000003, 5.0
0.26000000000000006, 0.0003700000000000003, 4.0
0.2700000000000001, 0.0003700000000000003, 5.0
0.2800000000000001, 0.0003700000000000003, 4.0
0.2900000000000001, 0.0003700000000000003, 4.0
0.2, 0.00038000000000000035, 4.0
0.21000000000000002, 0.00038000000000000035, 4.0
0.22000000000000003, 0.00038000000000000035, 4.0
0.23000000000000004, 0.00038000000000000035, 4.0
0.24000000000000005, 0.00038000000000000035, 5.0
0.25000000000000006, 0.00038000000000000035, 4.0
0.26000000000000006, 0.00038000000000000035, 5.0
0.2700000000000001, 0.00038000000000000035, 4.0
0.2800000000000001, 0.00038000000000000035, 4.0
0.2900000000000001, 0.00038000000000000035, 4.0
0.2, 0.00039000000000000037, 4.0
0.21000000000000002, 0.00039000000000000037, 4.0
0.22000000000000003, 0.00039000000000000037, 4.0
0.23000000000000004, 0.00039000000000000037, 5.0
0.24000000000000005, 0.00039000000000000037, 5.0
0.25000000000000006, 0.00039000000000000037, 5.0
0.26000000000000006, 0.00039000000000000037, 5.0
0.2700000000000001, 0.00039000000000000037, 5.0
0.2800000000000001, 0.00039000000000000037, 4.0
0.2900000000000001, 0.00039000000000000037, 4.0
